ArbiBird #1: Background: Blue, Beak: Stark - Gray, Body: Small - Gray, Eyes: Hoodie, Eyewear: Angry - Red, Headwear: Visor (Jade), Outerwear: Captain's Cap
ArbiBird #3970: Background: Blue, Beak: Guardian - Brown, Body: Small - Ruby, Eyes: Jean Jacket, Eyewear: Open - Ruby, Headwear: Black-rimmed Glasses, Outerwear: Rubber Duck
ArbiBird #3971: Background: Blue, Beak: Glitch - Legendary Guardian, Body: Long - Ruby, Eyes: Jean Jacket, Eyewear: Rainbow - Epic, Headwear: Half-moon Spectacles, Outerwear: Space Helmet
ArbiBird #3972: Background: Blue, Beak: Enlightened - Legendary Guardian, Body: Short (Jade), Eyes: Hoodie, Eyewear: Open - Golden, Headwear: Gazelles, Outerwear: Halo (Jade)
ArbiBird #3973: Background: Blue, Beak: Brave - Purple, Body: Short - Golden, Eyes: Diamond Necklace, Eyewear: Glitch 5, Headwear: Aviators, Outerwear: Bandana
ArbiBird #3974: Background: Blue, Beak: Skeleton - Bone, Body: Small (Jade), Eyes: Diamond Necklace, Eyewear: Angry - White, Headwear: Jobs Glasses, Outerwear: Skully (Jade)
ArbiBird #3975: Background: Blue, Beak: Tabby - Brown, Body: Small (Jade), Eyes: Jean Jacket, Eyewear: Open - Gray, Headwear: Big Tech, Outerwear: Crescent Talisman (Jade)
ArbiBird #3976: Background: Blue, Beak: Glitch - Legendary Crescent, Body: Long - Skeleton, Eyes: Gold Chain, Eyewear: Open - Yellow, Headwear: Eyepatch, Outerwear: Hero's Cap
ArbiBird #3977: Background: Blue, Beak: Guardian - Pink, Body: Short - Orange, Eyes: Hoodie Down, Eyewear: Relaxed - Green, Headwear: Rose-Colored Glasses, Outerwear: Halo (Jade)
ArbiBird #3978: Background: Blue, Beak: Emperor - Purple, Body: Small - Gray, Eyes: Punk Jacket, Eyewear: Angry - White, Headwear: Eyepatch, Outerwear: Bow
ArbiBird #3979: Background: Blue, Beak: Tranquil - Green, Body: Short - Gray, Eyes: Punk Jacket, Eyewear: Side-eye - White, Headwear: Gazelles, Outerwear: Captain's Cap
ArbiBird #3980: Background: Blue, Beak: Professor - Red, Body: Small (Jade), Eyes: Hero's Tunic, Eyewear: Side-eye - Blue, Headwear: Monocle (Jade), Outerwear: Witch's Hat
ArbiBird #3981: Background: Blue, Beak: Guardian - Gray, Body: Small (Enlightened), Eyes: Diamond Necklace, Eyewear: Angry - Gray, Headwear: Black-rimmed Glasses, Outerwear: Skully
ArbiBird #3982: Background: Blue, Beak: Cosmic - Legendary Emperor, Body: Short - Ruby, Eyes: Hoodie, Eyewear: Open (Enlightened), Headwear: Half-moon Spectacles, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #3983: Background: Blue, Beak: Golden - Legendary Sage, Body: Long - Robot, Eyes: Gold Chain, Eyewear: Open - Purple, Headwear: Half-moon Spectacles, Outerwear: Beanie
ArbiBird #3984: Background: Blue, Beak: Cosmic - Legendary Professor, Body: Small - Gray, Eyes: Hoodie, Eyewear: Side-eye - White, Headwear: Half-moon Spectacles, Outerwear: Forest Ranger
ArbiBird #3985: Background: Blue, Beak: Emperor - Pink, Body: Short - Robot, Eyes: Diamond Necklace, Eyewear: Relaxed - Skeleton, Headwear: Visor, Outerwear: Chromie
ArbiBird #3986: Background: Blue, Beak: Professor - Green, Body: Small - Orange, Eyes: Hoodie, Eyewear: Discerning - Yellow, Headwear: Aviators, Outerwear: Headphones
ArbiBird #3987: Background: Blue, Beak: Enlightened - Legendary Emperor, Body: Short - Orange, Eyes: Bomber Jacket, Eyewear: Discerning - Gray, Headwear: Sunglasses, Outerwear: Mohawk (Pink)
ArbiBird #3988: Background: Blue, Beak: Tabby - Gray, Body: Short - Golden, Eyes: None, Eyewear: Adorable - Epic, Headwear: Eyepatch, Outerwear: Cowboy Hat
ArbiBird #3989: Background: Blue, Beak: Enlightened - Legendary Sage, Body: Small - Robot, Eyes: None, Eyewear: Open - Yellow, Headwear: Aviators, Outerwear: Grail
ArbiBird #3990: Background: Blue, Beak: Tranquil - Gray, Body: Small - Gray, Eyes: Diamond Necklace, Eyewear: Relaxed - Yellow, Headwear: Gazelles, Outerwear: Dancing Flame
ArbiBird #3991: Background: Blue, Beak: Crescent - Black, Body: Small - Robot, Eyes: Diamond Necklace, Eyewear: Open - Moon, Headwear: Visor, Outerwear: Aviator's Cap
ArbiBird #3992: Background: Blue, Beak: Tranquil - White, Body: Short - Gray, Eyes: Hero's Tunic, Eyewear: Open - Fire, Headwear: Visor (Jade), Outerwear: Forest Ranger
ArbiBird #3993: Background: Blue, Beak: Crescent - White, Body: Short - Skeleton, Eyes: Gold Chain, Eyewear: Angry - Gray, Headwear: Monocle, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #3994: Background: Blue, Beak: Brave - Green, Body: Long - Orange, Eyes: Hero's Tunic, Eyewear: Side-eye - Golden, Headwear: Half-moon Spectacles, Outerwear: Headband
ArbiBird #3995: Background: Blue, Beak: Enlightened - Legendary Brave, Body: Small - Gray, Eyes: Hero's Tunic, Eyewear: Heart - Epic, Headwear: Aviators, Outerwear: Witch's Hat
ArbiBird #3996: Background: Blue, Beak: Stark - White, Body: Long - Golden, Eyes: Hoodie, Eyewear: Side-eye - Green, Headwear: Sunglasses, Outerwear: Halo (Enlightened Variant)
ArbiBird #3997: Background: Blue, Beak: Crescent - Brown, Body: Small - Orange, Eyes: Hero's Tunic, Eyewear: Relaxed - Ruby, Headwear: Big Tech, Outerwear: Headband
ArbiBird #3998: Background: Blue, Beak: Glitch - Legendary Emperor, Body: Long - Skeleton, Eyes: Bomber Jacket, Eyewear: Open - Blue, Headwear: Black-rimmed Glasses, Outerwear: Skully (Jade)
ArbiBird #3999: Background: Blue, Beak: Tabby - Gray, Body: Small (Cosmic), Eyes: Gold Chain, Eyewear: Side-eye - White, Headwear: None, Outerwear: Lincoln
ArbiBird #4000: Background: Blue, Beak: Glitch - Legendary Guardian, Body: Small - Skeleton, Eyes: Bomber Jacket, Eyewear: Discerning - Yellow, Headwear: Sunglasses, Outerwear: Unicorn Horn (Jade)
ArbiBird #4001: Background: Blue, Beak: Crescent - Gray, Body: Long - Skeleton, Eyes: None, Eyewear: Glitch 4, Headwear: Visor, Outerwear: Headphones
ArbiBird #4002: Background: Blue, Beak: Professor - Gray, Body: Short - Orange, Eyes: Jean Jacket, Eyewear: Moon - Epic, Headwear: Sunglasses, Outerwear: Lincoln
ArbiBird #4003: Background: Blue, Beak: Brave - Brown, Body: Long - Orange, Eyes: Hoodie, Eyewear: Adorable - Ruby, Headwear: Jobs Glasses, Outerwear: Unicorn Horn (Jade)
ArbiBird #4004: Background: Blue, Beak: Guardian - Purple, Body: Short (Jade), Eyes: Jean Jacket, Eyewear: Discerning - Purple, Headwear: Monocle (Jade), Outerwear: Bandana
ArbiBird #4005: Background: Blue, Beak: Brave - Green, Body: Short - Robot, Eyes: Punk Jacket, Eyewear: Open - Diamond, Headwear: Sunglasses, Outerwear: Flower
ArbiBird #4006: Background: Blue, Beak: Jade - Legendary Emperor, Body: Small - Orange, Eyes: Bomber Jacket, Eyewear: Angry - Golden, Headwear: None, Outerwear: Wizard's Hat (Jade)
ArbiBird #4007: Background: Blue, Beak: Jade - Legendary Emperor, Body: Small - Orange, Eyes: Bomber Jacket, Eyewear: Diamond - Epic, Headwear: Black-rimmed Glasses, Outerwear: Durag
ArbiBird #4008: Background: Blue, Beak: Tabby - Purple, Body: Short - Orange, Eyes: None, Eyewear: Glitch 1, Headwear: Visor, Outerwear: Skully
ArbiBird #4009: Background: Blue, Beak: Tranquil - White, Body: Small - Ruby, Eyes: Hoodie Down, Eyewear: Side-eye - Green, Headwear: Aviators, Outerwear: Unicorn Horn (Jade)
ArbiBird #4010: Background: Blue, Beak: Guardian - Purple, Body: Small - Golden, Eyes: Jean Jacket, Eyewear: Relaxed - Skeleton, Headwear: Jobs Glasses, Outerwear: Skully (Jade)
ArbiBird #4011: Background: Blue, Beak: Tabby - Brown, Body: Long - Golden, Eyes: Diamond Necklace, Eyewear: Open - Enchanted, Headwear: Black-rimmed Glasses, Outerwear: Lincoln
ArbiBird #4012: Background: Blue, Beak: Jade - Legendary Sage, Body: Small (Cosmic), Eyes: Diamond Necklace, Eyewear: Angry - Red, Headwear: Sunglasses, Outerwear: Mohawk (Jade)
ArbiBird #4013: Background: Blue, Beak: Professor - Pink, Body: Small (Jade), Eyes: Gold Chain, Eyewear: Discerning - Gray, Headwear: Aviators, Outerwear: Headphones
ArbiBird #4014: Background: Blue, Beak: Brave - Red, Body: Short - Robot, Eyes: Hoodie, Eyewear: Open (Jade), Headwear: Gazelles, Outerwear: Forest Ranger
ArbiBird #4015: Background: Blue, Beak: Emperor - Red, Body: Small (Jade), Eyes: Punk Jacket, Eyewear: Open - Green, Headwear: Eyepatch, Outerwear: Pirate's Hat
ArbiBird #4016: Background: Blue, Beak: Tabby - Black, Body: Long - Robot, Eyes: Diamond Necklace, Eyewear: Glitch 6, Headwear: 3D Glasses, Outerwear: Parliament Mask (Jade)
ArbiBird #4017: Background: Blue, Beak: Stark - Purple, Body: Long - Orange, Eyes: Gold Chain, Eyewear: Glitch 4, Headwear: 3D Glasses, Outerwear: Wizard's Hat (Jade)
ArbiBird #4018: Background: Blue, Beak: Cosmic - Legendary Brave, Body: Small - Ruby, Eyes: Hoodie Down, Eyewear: Relaxed - Gray, Headwear: Gazelles, Outerwear: Headphones
ArbiBird #4019: Background: Blue, Beak: Guardian - Pink, Body: Small - Skeleton, Eyes: Hero's Tunic, Eyewear: Fire - Ruby, Headwear: Black-rimmed Glasses, Outerwear: Captain's Cap
ArbiBird #4020: Background: Blue, Beak: Golden - Legendary Professor, Body: Short - Ruby, Eyes: Hero's Tunic, Eyewear: Open (Jade), Headwear: Visor, Outerwear: Mohawk (Jade)
ArbiBird #4021: Background: Blue, Beak: Brave - Green, Body: Small - Skeleton, Eyes: Diamond Necklace, Eyewear: Open - Moon, Headwear: None, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #4022: Background: Blue, Beak: Jade - Legendary Brave, Body: Short - Ruby, Eyes: Hoodie, Eyewear: Angry - Purple, Headwear: Monocle, Outerwear: Durag
ArbiBird #4023: Background: Blue, Beak: Brave - Red, Body: Small - Robot, Eyes: Jean Jacket, Eyewear: Open - Ruby, Headwear: Eyepatch, Outerwear: Diamond (Jade)
ArbiBird #4024: Background: Blue, Beak: Guardian - Black, Body: Long - Golden, Eyes: Bomber Jacket, Eyewear: Angry - Golden, Headwear: Black-rimmed Glasses, Outerwear: Tiny Crown (Jade)
ArbiBird #4025: Background: Blue, Beak: Professor - Green, Body: Small - Gray, Eyes: Hoodie, Eyewear: Relaxed - Green, Headwear: Black-rimmed Glasses, Outerwear: Bandana
ArbiBird #4026: Background: Blue, Beak: Tranquil - Blue, Body: Long - Gray, Eyes: Punk Jacket, Eyewear: Open - Purple, Headwear: Eyepatch, Outerwear: Halo (Enlightened Variant)
ArbiBird #4027: Background: Blue, Beak: Enlightened - Legendary Brave, Body: Long - Skeleton, Eyes: Bomber Jacket, Eyewear: Side-eye - Green, Headwear: Sunglasses, Outerwear: Skully
ArbiBird #4028: Background: Blue, Beak: Professor - Black, Body: Short - Skeleton, Eyes: Hoodie Down, Eyewear: Side-eye - Green, Headwear: Monocle, Outerwear: Dancing Flame
ArbiBird #4029: Background: Blue, Beak: Brave - Pink, Body: Small - Gray, Eyes: Hoodie Down, Eyewear: Open (Cosmic), Headwear: Rose-Colored Glasses, Outerwear: Pirate's Hat
ArbiBird #4030: Background: Blue, Beak: Robot - Metal, Body: Short - Gray, Eyes: Gold Chain, Eyewear: Rainbow - Epic, Headwear: Rose-Colored Glasses, Outerwear: Gremplin
ArbiBird #4031: Background: Blue, Beak: Skeleton - Bone, Body: Long - Golden, Eyes: Diamond Necklace, Eyewear: Relaxed - Gray, Headwear: Half-moon Spectacles, Outerwear: Crescent Talisman
ArbiBird #4032: Background: Blue, Beak: Stark - Blue, Body: Small - Gray, Eyes: Punk Jacket, Eyewear: Open - Golden, Headwear: Sunglasses, Outerwear: Unicorn Horn (Jade)
ArbiBird #4033: Background: Blue, Beak: Tranquil - Blue, Body: Short - Ruby, Eyes: Hoodie, Eyewear: Side-eye - Blue, Headwear: 3D Glasses, Outerwear: Crescent Talisman
ArbiBird #4034: Background: Blue, Beak: Crescent - Black, Body: Short - Orange, Eyes: Bomber Jacket, Eyewear: Open - Ruby, Headwear: 3D Glasses, Outerwear: None
ArbiBird #4035: Background: Blue, Beak: Cosmic - Legendary Brave, Body: Short - Skeleton, Eyes: Jean Jacket, Eyewear: Relaxed (Jade), Headwear: Visor (Jade), Outerwear: Skully (Jade)
ArbiBird #4036: Background: Blue, Beak: Crescent - White, Body: Short - Orange, Eyes: Punk Jacket, Eyewear: Open - Skeleton, Headwear: Gazelles, Outerwear: Aviator's Cap
ArbiBird #4037: Background: Blue, Beak: Professor - Brown, Body: Small (Jade), Eyes: Hero's Tunic, Eyewear: Angry - Golden, Headwear: Monocle (Jade), Outerwear: Captain's Cap
ArbiBird #4038: Background: Blue, Beak: Enlightened - Legendary Brave, Body: Long - Skeleton, Eyes: Hoodie, Eyewear: Relaxed - White, Headwear: Monocle, Outerwear: Crescent Talisman
ArbiBird #4039: Background: Blue, Beak: Tranquil - White, Body: Small - Robot, Eyes: Gold Chain, Eyewear: Side-eye - Blue, Headwear: Rose-Colored Glasses, Outerwear: Captain's Cap
ArbiBird #4040: Background: Blue, Beak: Guardian - Black, Body: Long - Golden, Eyes: Bomber Jacket, Eyewear: Open - Blue, Headwear: Sunglasses, Outerwear: Raincloud
ArbiBird #4041: Background: Blue, Beak: Sage - Green, Body: Short - Gray, Eyes: Hoodie Down, Eyewear: Angry - Purple, Headwear: Half-moon Spectacles, Outerwear: Bandana
ArbiBird #4042: Background: Blue, Beak: Crescent - Pink, Body: Short - Orange, Eyes: None, Eyewear: Discerning - Golden, Headwear: Sunglasses, Outerwear: Tiny Crown (Jade)
ArbiBird #4043: Background: Blue, Beak: Ruby Skeleton - Legendary Bone, Body: Small (Enlightened), Eyes: Hoodie, Eyewear: Glitch 4, Headwear: Half-moon Spectacles, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #4044: Background: Blue, Beak: Tranquil - Blue, Body: Short (Jade), Eyes: Gold Chain, Eyewear: Angry - Blue, Headwear: 3D Glasses, Outerwear: Bucket Hat
ArbiBird #4045: Background: Blue, Beak: Professor - Gray, Body: Long - Skeleton, Eyes: Jean Jacket, Eyewear: Angry - Ruby, Headwear: Jobs Glasses, Outerwear: Skully
ArbiBird #4046: Background: Blue, Beak: Stark - Red, Body: Short - Robot, Eyes: Bomber Jacket, Eyewear: Relaxed - Yellow, Headwear: Visor, Outerwear: Crescent Talisman (Jade)
ArbiBird #4047: Background: Blue, Beak: Sage - Gray, Body: Short - Orange, Eyes: None, Eyewear: Open - Blue, Headwear: Gazelles, Outerwear: Mohawk (Jade)
ArbiBird #4048: Background: Blue, Beak: Tranquil - Green, Body: Small - Orange, Eyes: Hoodie Down, Eyewear: Open - Golden, Headwear: Monocle, Outerwear: Moon Hat
ArbiBird #4049: Background: Blue, Beak: Crescent - Blue, Body: Short - Skeleton, Eyes: None, Eyewear: Open - Skeleton, Headwear: Rose-Colored Glasses, Outerwear: Mohawk (Green)
ArbiBird #4050: Background: Blue, Beak: Ruby Skeleton - Legendary Bone, Body: Small - Gray, Eyes: Gold Chain, Eyewear: Glitch 5, Headwear: Eyepatch, Outerwear: Skully (Jade)
ArbiBird #4051: Background: Blue, Beak: Enlightened - Legendary Professor, Body: Short - Robot, Eyes: Hoodie, Eyewear: Relaxed (Enlightened), Headwear: Rose-Colored Glasses, Outerwear: Backwards Hat
ArbiBird #4052: Background: Blue, Beak: Glitch - Legendary Sage, Body: Long - Orange, Eyes: Hoodie, Eyewear: Discerning - White, Headwear: Rose-Colored Glasses, Outerwear: Cowboy Hat
ArbiBird #4053: Background: Blue, Beak: Tabby - Green, Body: Long - Golden, Eyes: Hero's Tunic, Eyewear: Discerning - Skeleton, Headwear: Visor, Outerwear: Moon Hat
ArbiBird #4054: Background: Blue, Beak: Sage - White, Body: Small (Cosmic), Eyes: Hoodie, Eyewear: Open - Blue, Headwear: Visor (Jade), Outerwear: Dancing Flame (Jade)
ArbiBird #4055: Background: Blue, Beak: Sage - Green, Body: Long - Robot, Eyes: Jean Jacket, Eyewear: Open (Cosmic), Headwear: Monocle, Outerwear: Tiara
ArbiBird #4056: Background: Blue, Beak: Golden - Legendary Emperor, Body: Long - Gray, Eyes: None, Eyewear: Fire - Epic, Headwear: Big Tech, Outerwear: Backwards Hat
ArbiBird #4057: Background: Blue, Beak: Stark - Red, Body: Short - Robot, Eyes: Punk Jacket, Eyewear: Discerning - Gray, Headwear: Big Tech, Outerwear: Backwards Hat
ArbiBird #4058: Background: Blue, Beak: Tranquil - Purple, Body: Small - Orange, Eyes: Bomber Jacket, Eyewear: Rainbow - Epic, Headwear: Black-rimmed Glasses, Outerwear: Diamond (Jade)
ArbiBird #4059: Background: Blue, Beak: Glitch - Legendary Guardian, Body: Small (Cosmic), Eyes: Punk Jacket, Eyewear: Open - Moon, Headwear: Rose-Colored Glasses, Outerwear: Crescent Talisman (Jade)
ArbiBird #4060: Background: Blue, Beak: Brave - Green, Body: Small - Ruby, Eyes: None, Eyewear: Relaxed - Gray, Headwear: Rose-Colored Glasses, Outerwear: Crescent Talisman
ArbiBird #4061: Background: Blue, Beak: Tranquil - Gray, Body: Short - Ruby, Eyes: None, Eyewear: Relaxed - Green, Headwear: Visor (Jade), Outerwear: Bandana
ArbiBird #4062: Background: Blue, Beak: Sage - Black, Body: Small - Gray, Eyes: Hoodie Down, Eyewear: Open - Adorable, Headwear: Visor (Jade), Outerwear: Backwards Hat
ArbiBird #4063: Background: Blue, Beak: Stark - Red, Body: Small - Ruby, Eyes: Punk Jacket, Eyewear: Side-eye - Purple, Headwear: Rose-Colored Glasses, Outerwear: Tiara
ArbiBird #4064: Background: Blue, Beak: Professor - Blue, Body: Short - Gray, Eyes: Gold Chain, Eyewear: Relaxed (Jade), Headwear: None, Outerwear: Durag
ArbiBird #4065: Background: Blue, Beak: Golden - Legendary Emperor, Body: Long - Robot, Eyes: Jean Jacket, Eyewear: Glitch 5, Headwear: Gazelles, Outerwear: Queen's Crown
ArbiBird #4066: Background: Blue, Beak: Glitch - Legendary Professor, Body: Long - Gray, Eyes: Hoodie Down, Eyewear: Open (Enlightened), Headwear: Visor (Jade), Outerwear: Gremplin
ArbiBird #4067: Background: Blue, Beak: Professor - Brown, Body: Small (Enlightened), Eyes: Bomber Jacket, Eyewear: Discerning - Purple, Headwear: Rose-Colored Glasses, Outerwear: Diamond (Jade)
ArbiBird #4068: Background: Blue, Beak: Skeleton - Bone, Body: Small (Cosmic), Eyes: Hoodie Down, Eyewear: Open - Yellow, Headwear: Half-moon Spectacles, Outerwear: Durag
ArbiBird #4069: Background: Blue, Beak: Sage - White, Body: Small - Golden, Eyes: Bomber Jacket, Eyewear: Rainbow - Epic, Headwear: Jobs Glasses, Outerwear: Dancing Flame
ArbiBird #4070: Background: Blue, Beak: Tabby - Purple, Body: Small - Gray, Eyes: Jean Jacket, Eyewear: Relaxed - Ruby, Headwear: Gazelles, Outerwear: Fire
ArbiBird #4071: Background: Blue, Beak: Professor - Red, Body: Short - Gray, Eyes: Diamond Necklace, Eyewear: Fire - Ruby, Headwear: Black-rimmed Glasses, Outerwear: Wizard's Hat
ArbiBird #4072: Background: Blue, Beak: Brave - White, Body: Short - Robot, Eyes: Hoodie Down, Eyewear: Glitch 6, Headwear: Eyepatch, Outerwear: Hero's Cap
ArbiBird #4073: Background: Blue, Beak: Guardian - Purple, Body: Short - Robot, Eyes: Gold Chain, Eyewear: Glitch 5, Headwear: Jobs Glasses, Outerwear: Tiny Crown (Jade)
ArbiBird #4074: Background: Blue, Beak: Enlightened - Legendary Guardian, Body: Small - Robot, Eyes: Hoodie, Eyewear: Open - Adorable, Headwear: Gazelles, Outerwear: Parliament Mask (Jade)
ArbiBird #4075: Background: Blue, Beak: Crescent - White, Body: Short - Orange, Eyes: Hoodie Down, Eyewear: Moon - Epic, Headwear: Sunglasses, Outerwear: Durag
ArbiBird #4076: Background: Blue, Beak: Guardian - Black, Body: Short - Skeleton, Eyes: Jean Jacket, Eyewear: Angry - Blue, Headwear: Half-moon Spectacles, Outerwear: Tiny Crown (Enlightened)
ArbiBird #4077: Background: Blue, Beak: Emperor - Gray, Body: Long - Ruby, Eyes: Hoodie Down, Eyewear: Open - Red, Headwear: Rose-Colored Glasses, Outerwear: Cowboy Hat
ArbiBird #4078: Background: Blue, Beak: Emperor - White, Body: Short (Jade), Eyes: Hero's Tunic, Eyewear: Side-eye - Golden, Headwear: Monocle, Outerwear: Hero's Cap
ArbiBird #4079: Background: Blue, Beak: Sage - Black, Body: Small - Robot, Eyes: Hoodie, Eyewear: Rainbow - Epic, Headwear: Visor (Jade), Outerwear: Halo (Enlightened Variant)
ArbiBird #4080: Background: Blue, Beak: Professor - White, Body: Small - Gray, Eyes: Hoodie, Eyewear: Rainbow - Epic, Headwear: Aviators, Outerwear: Bandana
ArbiBird #4081: Background: Blue, Beak: Sage - Gray, Body: Small - Gray, Eyes: Hero's Tunic, Eyewear: Side-eye - Purple, Headwear: Aviators, Outerwear: Headband
ArbiBird #4082: Background: Blue, Beak: Guardian - Gray, Body: Short - Orange, Eyes: Bomber Jacket, Eyewear: Relaxed - White, Headwear: Big Tech, Outerwear: Chromie
ArbiBird #4083: Background: Blue, Beak: Crescent - Red, Body: Long - Orange, Eyes: Hoodie Down, Eyewear: Discerning - Red, Headwear: Visor (Jade), Outerwear: None
ArbiBird #4084: Background: Blue, Beak: Golden - Legendary Professor, Body: Short - Skeleton, Eyes: Diamond Necklace, Eyewear: Glitch 3, Headwear: Monocle, Outerwear: Cowboy Hat
ArbiBird #4085: Background: Blue, Beak: Enlightened - Legendary Professor, Body: Short - Robot, Eyes: Jean Jacket, Eyewear: Angry - Blue, Headwear: Sunglasses, Outerwear: Parliament Mask (Jade)
ArbiBird #4086: Background: Blue, Beak: Tranquil - Blue, Body: Short - Ruby, Eyes: Gold Chain, Eyewear: Relaxed - Ruby, Headwear: Visor (Jade), Outerwear: None
ArbiBird #4087: Background: Blue, Beak: Glitch - Legendary Guardian, Body: Short - Ruby, Eyes: Jean Jacket, Eyewear: Adorable - Ruby, Headwear: Black-rimmed Glasses, Outerwear: Lincoln
ArbiBird #4088: Background: Blue, Beak: Guardian - Green, Body: Small (Enlightened), Eyes: Diamond Necklace, Eyewear: Open - Ruby, Headwear: Half-moon Spectacles, Outerwear: Durag
ArbiBird #4089: Background: Blue, Beak: Stark - Green, Body: Short (Jade), Eyes: Hoodie, Eyewear: Relaxed - Red, Headwear: Monocle, Outerwear: Fire
ArbiBird #4090: Background: Blue, Beak: Guardian - White, Body: Long - Golden, Eyes: Gold Chain, Eyewear: Relaxed (Enlightened), Headwear: None, Outerwear: Mohawk (Green)
ArbiBird #4091: Background: Blue, Beak: Emperor - Gray, Body: Long - Robot, Eyes: Hoodie Down, Eyewear: Discerning - White, Headwear: Gazelles, Outerwear: Tiny Crown (Enlightened)
ArbiBird #4092: Background: Blue, Beak: Professor - Green, Body: Small - Ruby, Eyes: Jean Jacket, Eyewear: Angry - Yellow, Headwear: Eyepatch, Outerwear: Fire
ArbiBird #4093: Background: Blue, Beak: Jade - Legendary Brave, Body: Short - Gray, Eyes: Bomber Jacket, Eyewear: Discerning - Skeleton, Headwear: Sunglasses, Outerwear: Space Helmet
ArbiBird #4094: Background: Blue, Beak: Crescent - Purple, Body: Long - Robot, Eyes: Hoodie, Eyewear: Side-eye - Green, Headwear: Black-rimmed Glasses, Outerwear: Halo (Jade)
ArbiBird #4095: Background: Blue, Beak: Emperor - Gray, Body: Short - Skeleton, Eyes: Hero's Tunic, Eyewear: Side-eye - Green, Headwear: Visor (Jade), Outerwear: Hero's Cap
ArbiBird #4096: Background: Blue, Beak: Emperor - Purple, Body: Short - Robot, Eyes: Punk Jacket, Eyewear: Discerning - Green, Headwear: Big Tech, Outerwear: Lincoln
ArbiBird #4097: Background: Blue, Beak: Professor - Red, Body: Long - Gray, Eyes: Diamond Necklace, Eyewear: Relaxed - Golden, Headwear: Eyepatch, Outerwear: Bucket Hat
ArbiBird #4098: Background: Blue, Beak: Crescent - White, Body: Small - Robot, Eyes: Hoodie Down, Eyewear: Moon - Epic, Headwear: Sunglasses, Outerwear: Cowboy Hat
ArbiBird #4099: Background: Blue, Beak: Tranquil - Black, Body: Short - Robot, Eyes: Hero's Tunic, Eyewear: Side-eye - Red, Headwear: Jobs Glasses, Outerwear: Karate Band
ArbiBird #4100: Background: Blue, Beak: Enlightened - Legendary Crescent, Body: Small (Cosmic), Eyes: Hoodie Down, Eyewear: Fire - Epic, Headwear: Black-rimmed Glasses, Outerwear: Skully (Jade)
ArbiBird #4101: Background: Blue, Beak: Sage - Red, Body: Small - Robot, Eyes: Punk Jacket, Eyewear: Relaxed - Yellow, Headwear: Jobs Glasses, Outerwear: Bucket Hat
ArbiBird #4102: Background: Blue, Beak: Stark - White, Body: Small - Gray, Eyes: Hoodie, Eyewear: Discerning - Skeleton, Headwear: Monocle (Jade), Outerwear: Flower
ArbiBird #4103: Background: Blue, Beak: Tabby - Purple, Body: Long - Ruby, Eyes: Jean Jacket, Eyewear: Open (Enlightened), Headwear: 3D Glasses, Outerwear: Durag
ArbiBird #4104: Background: Blue, Beak: Professor - Brown, Body: Long - Ruby, Eyes: Jean Jacket, Eyewear: Discerning - White, Headwear: Black-rimmed Glasses, Outerwear: Aviator's Cap
ArbiBird #4105: Background: Blue, Beak: Guardian - Brown, Body: Short (Jade), Eyes: Hoodie, Eyewear: Open - Diamond, Headwear: Monocle (Jade), Outerwear: Headphones
ArbiBird #4106: Background: Blue, Beak: Crescent - Black, Body: Small - Golden, Eyes: Bomber Jacket, Eyewear: Side-eye - Blue, Headwear: Monocle (Jade), Outerwear: Headband
ArbiBird #4107: Background: Blue, Beak: Tabby - Purple, Body: Small - Ruby, Eyes: Gold Chain, Eyewear: Side-eye - Red, Headwear: Gazelles, Outerwear: Moon Hat
ArbiBird #4108: Background: Blue, Beak: Enlightened - Legendary Professor, Body: Short - Ruby, Eyes: Bomber Jacket, Eyewear: Relaxed - White, Headwear: Sunglasses, Outerwear: Durag
ArbiBird #4109: Background: Blue, Beak: Brave - Black, Body: Small - Ruby, Eyes: Hero's Tunic, Eyewear: Discerning - Gray, Headwear: Half-moon Spectacles, Outerwear: Tiara
ArbiBird #4110: Background: Blue, Beak: Enlightened - Legendary Professor, Body: Long - Gray, Eyes: None, Eyewear: Open - Red, Headwear: Sunglasses, Outerwear: Dancing Flame
ArbiBird #4111: Background: Blue, Beak: Stark - Green, Body: Long - Ruby, Eyes: Diamond Necklace, Eyewear: Open - Gray, Headwear: Half-moon Spectacles, Outerwear: Raincloud
ArbiBird #4112: Background: Blue, Beak: Guardian - Purple, Body: Small - Ruby, Eyes: Diamond Necklace, Eyewear: Glitch 2, Headwear: Aviators, Outerwear: Tiara
ArbiBird #4113: Background: Blue, Beak: Jade - Legendary Professor, Body: Small (Enlightened), Eyes: Hoodie, Eyewear: Open - Skeleton, Headwear: Visor, Outerwear: Hero's Cap
ArbiBird #4114: Background: Blue, Beak: Golden - Legendary Professor, Body: Long - Orange, Eyes: Bomber Jacket, Eyewear: Glitch 1, Headwear: Rose-Colored Glasses, Outerwear: Parliament Mask (Jade)
ArbiBird #4115: Background: Blue, Beak: Crescent - Gray, Body: Small - Golden, Eyes: Hoodie, Eyewear: Relaxed - Ruby, Headwear: Eyepatch, Outerwear: Captain's Cap
