ArbiBird #1: Background: Blue, Body: Stark - Gray, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Angry - Red, Eyewear: Visor (Jade), Headwear: Captain's Cap
ArbiBird #5849: Background: Blue, Body: Crescent - Gray, Beak: Small - Golden, Outerwear: Bomber Jacket, Eyes: Angry - Gray, Eyewear: Eyepatch, Headwear: Parliament Mask (Jade)
ArbiBird #5850: Background: Blue, Body: Glitch - Legendary Crescent, Beak: Long - Ruby, Outerwear: Bomber Jacket, Eyes: Discerning - Purple, Eyewear: Eyepatch, Headwear: Flower
ArbiBird #5851: Background: Blue, Body: Professor - Brown, Beak: Small - Orange, Outerwear: Gold Chain, Eyes: Open - Yellow, Eyewear: None, Headwear: Space Helmet
ArbiBird #5852: Background: Blue, Body: Enlightened - Legendary Sage, Beak: Small - Ruby, Outerwear: Hoodie, Eyes: Open - White, Eyewear: Visor, Headwear: Halo (Jade)
ArbiBird #5853: Background: Blue, Body: Golden - Legendary Professor, Beak: Long - Orange, Outerwear: Diamond Necklace, Eyes: Glitch 4, Eyewear: Half-moon Spectacles, Headwear: Witch's Hat
ArbiBird #5854: Background: Blue, Body: Tabby - Blue, Beak: Short - Orange, Outerwear: Diamond Necklace, Eyes: Discerning - Skeleton, Eyewear: Rose-Colored Glasses, Headwear: Tiny Crown (Jade)
ArbiBird #5855: Background: Blue, Body: Cosmic - Legendary Guardian, Beak: Small - Robot, Outerwear: Jean Jacket, Eyes: Discerning - Yellow, Eyewear: Visor, Headwear: Headband
ArbiBird #5856: Background: Blue, Body: Professor - Gray, Beak: Small (Jade), Outerwear: Gold Chain, Eyes: Fire - Epic, Eyewear: Gazelles, Headwear: Headphones
ArbiBird #5857: Background: Blue, Body: Jade - Legendary Guardian, Beak: Short - Gray, Outerwear: Gold Chain, Eyes: Open - Green, Eyewear: 3D Glasses, Headwear: Mohawk (Green)
ArbiBird #5858: Background: Blue, Body: Guardian - Blue, Beak: Long - Ruby, Outerwear: Hoodie Down, Eyes: Relaxed - Gray, Eyewear: Visor, Headwear: Mohawk (Pink)
ArbiBird #5859: Background: Blue, Body: Brave - Black, Beak: Small - Orange, Outerwear: None, Eyes: Side-eye - Yellow, Eyewear: Visor (Jade), Headwear: Lincoln
ArbiBird #5860: Background: Blue, Body: Sage - Black, Beak: Long - Robot, Outerwear: Hero's Tunic, Eyes: Discerning - Yellow, Eyewear: Aviators, Headwear: Grail
ArbiBird #5861: Background: Blue, Body: Stark - Blue, Beak: Short - Gray, Outerwear: None, Eyes: Rainbow - Epic, Eyewear: 3D Glasses, Headwear: Moon Hat
ArbiBird #5862: Background: Blue, Body: Tabby - Brown, Beak: Short - Gray, Outerwear: Hoodie Down, Eyes: Relaxed - Skeleton, Eyewear: Aviators, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #5863: Background: Blue, Body: Guardian - Black, Beak: Long - Gray, Outerwear: Jean Jacket, Eyes: Side-eye - Blue, Eyewear: None, Headwear: Backwards Hat
ArbiBird #5864: Background: Blue, Body: Glitch - Legendary Crescent, Beak: Long - Golden, Outerwear: Bomber Jacket, Eyes: Open - Golden, Eyewear: Gazelles, Headwear: Mohawk (Jade)
ArbiBird #5865: Background: Blue, Body: Sage - Black, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Relaxed - White, Eyewear: Aviators, Headwear: Bow
ArbiBird #5866: Background: Blue, Body: Crescent - White, Beak: Long - Gray, Outerwear: Punk Jacket, Eyes: Glitch 3, Eyewear: Visor, Headwear: Fire
ArbiBird #5867: Background: Blue, Body: Sage - Purple, Beak: Long - Golden, Outerwear: Hoodie Down, Eyes: Adorable - Ruby, Eyewear: Aviators, Headwear: Aviator's Cap
ArbiBird #5868: Background: Blue, Body: Jade - Legendary Sage, Beak: Long - Ruby, Outerwear: Gold Chain, Eyes: Relaxed - Golden, Eyewear: Eyepatch, Headwear: Skully
ArbiBird #5869: Background: Blue, Body: Jade - Legendary Emperor, Beak: Small - Skeleton, Outerwear: Jean Jacket, Eyes: Fire - Ruby, Eyewear: Eyepatch, Headwear: None
ArbiBird #5870: Background: Blue, Body: Sage - Pink, Beak: Long - Ruby, Outerwear: Hero's Tunic, Eyes: Open - Skeleton, Eyewear: Eyepatch, Headwear: Mohawk (Pink)
ArbiBird #5871: Background: Blue, Body: Brave - Red, Beak: Small - Robot, Outerwear: None, Eyes: Angry - Ruby, Eyewear: Monocle (Jade), Headwear: Headphones
ArbiBird #5872: Background: Blue, Body: Crescent - Red, Beak: Short - Orange, Outerwear: Hoodie Down, Eyes: Discerning - Red, Eyewear: Monocle, Headwear: Queen's Crown
ArbiBird #5873: Background: Blue, Body: Glitch - Legendary Brave, Beak: Long - Orange, Outerwear: None, Eyes: Discerning - Purple, Eyewear: 3D Glasses, Headwear: Lincoln
ArbiBird #5874: Background: Blue, Body: Sage - Blue, Beak: Short - Skeleton, Outerwear: Diamond Necklace, Eyes: Diamond - Epic, Eyewear: Aviators, Headwear: Crescent Talisman (Jade)
ArbiBird #5875: Background: Blue, Body: Emperor - Brown, Beak: Long - Gray, Outerwear: Hoodie, Eyes: Open - Skeleton, Eyewear: Monocle (Jade), Headwear: Wizard's Hat (Jade)
ArbiBird #5876: Background: Blue, Body: Professor - Green, Beak: Small - Gray, Outerwear: Jean Jacket, Eyes: Open - Green, Eyewear: Half-moon Spectacles, Headwear: Diamond
ArbiBird #5877: Background: Blue, Body: Crescent - Brown, Beak: Short - Robot, Outerwear: Gold Chain, Eyes: Open - Skeleton, Eyewear: Sunglasses, Headwear: Space Helmet
ArbiBird #5878: Background: Blue, Body: Cosmic - Legendary Guardian, Beak: Small (Jade), Outerwear: Hoodie, Eyes: Fire - Epic, Eyewear: Visor, Headwear: Mohawk (Pink)
ArbiBird #5879: Background: Blue, Body: Glitch - Legendary Brave, Beak: Short (Jade), Outerwear: Hoodie, Eyes: Relaxed (Enlightened), Eyewear: Gazelles, Headwear: Cowboy Hat
ArbiBird #5880: Background: Blue, Body: Crescent - Purple, Beak: Long - Skeleton, Outerwear: Hoodie, Eyes: Open - Gray, Eyewear: Jobs Glasses, Headwear: Bandana
ArbiBird #5881: Background: Blue, Body: Glitch - Legendary Sage, Beak: Short - Orange, Outerwear: None, Eyes: Diamond - Epic, Eyewear: Gazelles, Headwear: Halo (Enlightened Variant)
ArbiBird #5882: Background: Blue, Body: Professor - Red, Beak: Short - Skeleton, Outerwear: None, Eyes: Discerning - Skeleton, Eyewear: Aviators, Headwear: Skully
ArbiBird #5883: Background: Blue, Body: Glitch - Legendary Crescent, Beak: Short - Orange, Outerwear: Diamond Necklace, Eyes: Open - Yellow, Eyewear: Big Tech, Headwear: Headband
ArbiBird #5884: Background: Blue, Body: Sage - Pink, Beak: Short - Gray, Outerwear: Bomber Jacket, Eyes: Heart - Epic, Eyewear: Black-rimmed Glasses, Headwear: Bucket Hat
ArbiBird #5885: Background: Blue, Body: Tabby - Gray, Beak: Long - Robot, Outerwear: Jean Jacket, Eyes: Relaxed - Yellow, Eyewear: Visor (Jade), Headwear: Diamond
ArbiBird #5886: Background: Blue, Body: Brave - Black, Beak: Short - Skeleton, Outerwear: Bomber Jacket, Eyes: Side-eye - White, Eyewear: 3D Glasses, Headwear: Headband
ArbiBird #5887: Background: Blue, Body: Sage - Brown, Beak: Short (Jade), Outerwear: None, Eyes: Discerning - Red, Eyewear: Monocle, Headwear: Pirate's Hat
ArbiBird #5888: Background: Blue, Body: Tabby - Green, Beak: Small - Skeleton, Outerwear: Hoodie, Eyes: Glitch 1, Eyewear: Eyepatch, Headwear: Beanie
ArbiBird #5889: Background: Blue, Body: Emperor - Gray, Beak: Long - Ruby, Outerwear: None, Eyes: Open - Blue, Eyewear: Aviators, Headwear: Bandana
ArbiBird #5890: Background: Blue, Body: Brave - Blue, Beak: Short - Gray, Outerwear: Hoodie Down, Eyes: Relaxed (Enlightened), Eyewear: Monocle, Headwear: Aviator's Cap
ArbiBird #5891: Background: Blue, Body: Stark - Red, Beak: Short (Jade), Outerwear: Hero's Tunic, Eyes: Side-eye - Purple, Eyewear: 3D Glasses, Headwear: Witch's Hat
ArbiBird #5892: Background: Blue, Body: Glitch - Legendary Sage, Beak: Long - Gray, Outerwear: Jean Jacket, Eyes: Open (Cosmic), Eyewear: 3D Glasses, Headwear: Unicorn Horn (Jade)
ArbiBird #5893: Background: Blue, Body: Tranquil - Black, Beak: Long - Skeleton, Outerwear: Hero's Tunic, Eyes: Discerning - Gray, Eyewear: Gazelles, Headwear: Raincloud
ArbiBird #5894: Background: Blue, Body: Tranquil - Green, Beak: Small (Cosmic), Outerwear: Hero's Tunic, Eyes: Discerning - Blue, Eyewear: Big Tech, Headwear: Rubber Duck
ArbiBird #5895: Background: Blue, Body: Sage - Black, Beak: Small - Orange, Outerwear: Gold Chain, Eyes: Angry - Ruby, Eyewear: Aviators, Headwear: Forest Ranger
ArbiBird #5896: Background: Blue, Body: Skeleton - Bone, Beak: Small - Skeleton, Outerwear: Punk Jacket, Eyes: Relaxed - Skeleton, Eyewear: None, Headwear: Halo
ArbiBird #5897: Background: Blue, Body: Cosmic - Legendary Emperor, Beak: Small - Ruby, Outerwear: Jean Jacket, Eyes: Relaxed (Enlightened), Eyewear: Visor (Jade), Headwear: Mohawk (Green)
ArbiBird #5898: Background: Blue, Body: Cosmic - Legendary Guardian, Beak: Small - Skeleton, Outerwear: Hoodie Down, Eyes: Relaxed - Green, Eyewear: Big Tech, Headwear: Wizard's Hat
ArbiBird #5899: Background: Blue, Body: Cosmic - Legendary Guardian, Beak: Long - Ruby, Outerwear: Diamond Necklace, Eyes: Discerning - Purple, Eyewear: Jobs Glasses, Headwear: Aviator's Cap
ArbiBird #5900: Background: Blue, Body: Guardian - Black, Beak: Long - Skeleton, Outerwear: Hoodie Down, Eyes: Side-eye - Purple, Eyewear: Sunglasses, Headwear: Headband
ArbiBird #5901: Background: Blue, Body: Cosmic - Legendary Crescent, Beak: Small (Cosmic), Outerwear: Bomber Jacket, Eyes: Open - Adorable, Eyewear: Visor, Headwear: Tiara
ArbiBird #5902: Background: Blue, Body: Stark - Gray, Beak: Small - Ruby, Outerwear: Gold Chain, Eyes: Open - Robot, Eyewear: Visor, Headwear: Raincloud
ArbiBird #5903: Background: Blue, Body: Sage - Brown, Beak: Small (Jade), Outerwear: Punk Jacket, Eyes: Relaxed - Blue, Eyewear: Visor (Jade), Headwear: Tiara
ArbiBird #5904: Background: Blue, Body: Cosmic - Legendary Guardian, Beak: Short - Skeleton, Outerwear: Punk Jacket, Eyes: Open - Enchanted, Eyewear: Half-moon Spectacles, Headwear: Forest Ranger
ArbiBird #5905: Background: Blue, Body: Robot - Metal, Beak: Short - Robot, Outerwear: Hoodie, Eyes: Angry - Ruby, Eyewear: 3D Glasses, Headwear: Beanie
ArbiBird #5906: Background: Blue, Body: Professor - Pink, Beak: Short - Ruby, Outerwear: Gold Chain, Eyes: Open - Diamond, Eyewear: Sunglasses, Headwear: Halo
ArbiBird #5907: Background: Blue, Body: Jade - Legendary Emperor, Beak: Small - Golden, Outerwear: Bomber Jacket, Eyes: Relaxed - Yellow, Eyewear: None, Headwear: Aviator's Cap
ArbiBird #5908: Background: Blue, Body: Jade - Legendary Emperor, Beak: Short - Orange, Outerwear: Bomber Jacket, Eyes: Angry - Purple, Eyewear: Rose-Colored Glasses, Headwear: Queen's Crown
ArbiBird #5909: Background: Blue, Body: Tranquil - Gray, Beak: Small (Jade), Outerwear: Hoodie, Eyes: Glitch 5, Eyewear: 3D Glasses, Headwear: Parliament Mask (Jade)
ArbiBird #5910: Background: Blue, Body: Tranquil - Blue, Beak: Short - Orange, Outerwear: Hoodie Down, Eyes: Glitch 1, Eyewear: Black-rimmed Glasses, Headwear: Wizard's Hat
ArbiBird #5911: Background: Blue, Body: Professor - Gray, Beak: Small - Golden, Outerwear: Bomber Jacket, Eyes: Open - Green, Eyewear: Black-rimmed Glasses, Headwear: Mohawk (Green)
ArbiBird #5912: Background: Blue, Body: Tabby - Purple, Beak: Short - Orange, Outerwear: Jean Jacket, Eyes: Discerning - Golden, Eyewear: Monocle (Jade), Headwear: Tiny Crown (Jade)
ArbiBird #5913: Background: Blue, Body: Tabby - Red, Beak: Short (Jade), Outerwear: Punk Jacket, Eyes: Relaxed - Yellow, Eyewear: Eyepatch, Headwear: Tiny Crown (Jade)
ArbiBird #5914: Background: Blue, Body: Guardian - Brown, Beak: Small - Golden, Outerwear: Diamond Necklace, Eyes: Open - Purple, Eyewear: Half-moon Spectacles, Headwear: Hero's Cap
ArbiBird #5915: Background: Blue, Body: Stark - Green, Beak: Short - Robot, Outerwear: None, Eyes: Angry - Ruby, Eyewear: None, Headwear: Diamond
ArbiBird #5916: Background: Blue, Body: Tranquil - Gray, Beak: Short - Robot, Outerwear: Hero's Tunic, Eyes: Open - Golden, Eyewear: Monocle, Headwear: Aviator's Cap
ArbiBird #5917: Background: Blue, Body: Crescent - Purple, Beak: Small - Robot, Outerwear: None, Eyes: Adorable - Ruby, Eyewear: Jobs Glasses, Headwear: Dancing Flame (Jade)
ArbiBird #5918: Background: Blue, Body: Sage - Red, Beak: Short - Orange, Outerwear: None, Eyes: Discerning - Golden, Eyewear: Visor (Jade), Headwear: Tiara
ArbiBird #5919: Background: Blue, Body: Tabby - Brown, Beak: Small - Ruby, Outerwear: Hoodie Down, Eyes: Side-eye - Red, Eyewear: Half-moon Spectacles, Headwear: Karate Band
ArbiBird #5920: Background: Blue, Body: Tabby - White, Beak: Small - Ruby, Outerwear: Diamond Necklace, Eyes: Open - Enchanted, Eyewear: Monocle, Headwear: Bucket Hat
ArbiBird #5921: Background: Blue, Body: Crescent - Gray, Beak: Small - Robot, Outerwear: None, Eyes: Side-eye - Purple, Eyewear: 3D Glasses, Headwear: Crescent Talisman
ArbiBird #5922: Background: Blue, Body: Golden - Legendary Professor, Beak: Long - Ruby, Outerwear: Hero's Tunic, Eyes: Angry - White, Eyewear: Jobs Glasses, Headwear: Captain's Cap
ArbiBird #5923: Background: Blue, Body: Golden - Legendary Crescent, Beak: Long - Golden, Outerwear: Hoodie, Eyes: Angry - Skeleton, Eyewear: Half-moon Spectacles, Headwear: Dancing Flame (Jade)
ArbiBird #5924: Background: Blue, Body: Guardian - Red, Beak: Short - Gray, Outerwear: None, Eyes: Open - Golden, Eyewear: None, Headwear: Lincoln
ArbiBird #5925: Background: Blue, Body: Guardian - Brown, Beak: Short - Golden, Outerwear: Hoodie, Eyes: Glitch 3, Eyewear: Rose-Colored Glasses, Headwear: Hero's Cap
ArbiBird #5926: Background: Blue, Body: Glitch - Legendary Professor, Beak: Long - Ruby, Outerwear: Jean Jacket, Eyes: Relaxed - Purple, Eyewear: Monocle (Jade), Headwear: Crescent Talisman (Jade)
ArbiBird #5927: Background: Blue, Body: Tabby - Red, Beak: Small - Golden, Outerwear: Gold Chain, Eyes: Side-eye - Green, Eyewear: Visor, Headwear: Forest Ranger
ArbiBird #5928: Background: Blue, Body: Glitch - Legendary Brave, Beak: Small - Skeleton, Outerwear: Jean Jacket, Eyes: Relaxed - Ruby, Eyewear: Eyepatch, Headwear: Rubber Duck
ArbiBird #5929: Background: Blue, Body: Golden - Legendary Professor, Beak: Small - Golden, Outerwear: Bomber Jacket, Eyes: Angry - Golden, Eyewear: Jobs Glasses, Headwear: Halo (Enlightened Variant)
ArbiBird #5930: Background: Blue, Body: Cosmic - Legendary Sage, Beak: Long - Gray, Outerwear: Hero's Tunic, Eyes: Side-eye - Yellow, Eyewear: Visor (Jade), Headwear: Skully
ArbiBird #5931: Background: Blue, Body: Cosmic - Legendary Sage, Beak: Small (Jade), Outerwear: Gold Chain, Eyes: Open - Red, Eyewear: Rose-Colored Glasses, Headwear: Dancing Flame
ArbiBird #5932: Background: Blue, Body: Jade - Legendary Professor, Beak: Small - Orange, Outerwear: Hoodie Down, Eyes: Discerning - Red, Eyewear: Big Tech, Headwear: Diamond
ArbiBird #5933: Background: Blue, Body: Emperor - Purple, Beak: Long - Gray, Outerwear: Hoodie, Eyes: Open - Enchanted, Eyewear: Monocle (Jade), Headwear: Unicorn Horn (Jade)
ArbiBird #5934: Background: Blue, Body: Brave - Blue, Beak: Small - Golden, Outerwear: Punk Jacket, Eyes: Open - Robot, Eyewear: Monocle, Headwear: Tiny Crown (Enlightened)
ArbiBird #5935: Background: Blue, Body: Tranquil - Gray, Beak: Long - Orange, Outerwear: Hoodie, Eyes: Moon - Epic, Eyewear: Monocle, Headwear: Queen's Crown
ArbiBird #5936: Background: Blue, Body: Crescent - Red, Beak: Long - Orange, Outerwear: None, Eyes: Glitch 5, Eyewear: Black-rimmed Glasses, Headwear: Fire
ArbiBird #5937: Background: Blue, Body: Stark - Brown, Beak: Small (Jade), Outerwear: Hoodie, Eyes: Side-eye - Blue, Eyewear: Jobs Glasses, Headwear: Headphones
ArbiBird #5938: Background: Blue, Body: Stark - Pink, Beak: Short - Gray, Outerwear: None, Eyes: Open - Moon, Eyewear: Big Tech, Headwear: Bow
ArbiBird #5939: Background: Blue, Body: Guardian - Red, Beak: Short - Gray, Outerwear: Gold Chain, Eyes: Angry - Gray, Eyewear: Visor (Jade), Headwear: Wizard's Hat (Jade)
ArbiBird #5940: Background: Blue, Body: Ruby Skeleton - Legendary Bone, Beak: Small (Cosmic), Outerwear: Hoodie Down, Eyes: Open - Blue, Eyewear: Visor, Headwear: Cowboy Hat
ArbiBird #5941: Background: Blue, Body: Guardian - Black, Beak: Short - Orange, Outerwear: Jean Jacket, Eyes: Open - Purple, Eyewear: Gazelles, Headwear: Unicorn Horn (Jade)
ArbiBird #5942: Background: Blue, Body: Sage - Pink, Beak: Small - Orange, Outerwear: Diamond Necklace, Eyes: Discerning - Purple, Eyewear: None, Headwear: Mohawk (Pink)
ArbiBird #5943: Background: Blue, Body: Tabby - Black, Beak: Long - Gray, Outerwear: Punk Jacket, Eyes: Angry - Skeleton, Eyewear: Black-rimmed Glasses, Headwear: Dancing Flame
ArbiBird #5944: Background: Blue, Body: Tabby - White, Beak: Short - Orange, Outerwear: Hero's Tunic, Eyes: Discerning - Gray, Eyewear: Gazelles, Headwear: Mohawk (Pink)
ArbiBird #5945: Background: Blue, Body: Emperor - Pink, Beak: Long - Robot, Outerwear: Hoodie Down, Eyes: Side-eye - White, Eyewear: Monocle (Jade), Headwear: Halo
ArbiBird #5946: Background: Blue, Body: Stark - Black, Beak: Long - Orange, Outerwear: Hoodie Down, Eyes: Adorable - Epic, Eyewear: 3D Glasses, Headwear: Grail
ArbiBird #5947: Background: Blue, Body: Brave - Red, Beak: Small (Enlightened), Outerwear: Jean Jacket, Eyes: Relaxed - Skeleton, Eyewear: Monocle, Headwear: Chromie
ArbiBird #5948: Background: Blue, Body: Tranquil - Green, Beak: Short - Orange, Outerwear: Hoodie, Eyes: Glitch 3, Eyewear: Gazelles, Headwear: Aviator's Cap
ArbiBird #5949: Background: Blue, Body: Brave - Pink, Beak: Long - Gray, Outerwear: Hoodie Down, Eyes: Open - Blue, Eyewear: Aviators, Headwear: Hero's Cap
ArbiBird #5950: Background: Blue, Body: Brave - Gray, Beak: Small - Gray, Outerwear: Jean Jacket, Eyes: Open - Ruby, Eyewear: Monocle (Jade), Headwear: Aviator's Cap
ArbiBird #5951: Background: Blue, Body: Brave - Red, Beak: Small - Golden, Outerwear: Hoodie, Eyes: Diamond - Epic, Eyewear: 3D Glasses, Headwear: Witch's Hat
ArbiBird #5952: Background: Blue, Body: Crescent - Black, Beak: Small (Enlightened), Outerwear: Hoodie, Eyes: Fire - Ruby, Eyewear: None, Headwear: Headband
ArbiBird #5953: Background: Blue, Body: Glitch - Legendary Guardian, Beak: Long - Robot, Outerwear: Diamond Necklace, Eyes: Open - Fire, Eyewear: Rose-Colored Glasses, Headwear: Pirate's Hat
ArbiBird #5954: Background: Blue, Body: Glitch - Legendary Professor, Beak: Short - Robot, Outerwear: Hoodie, Eyes: Angry - Ruby, Eyewear: Visor, Headwear: Halo (Enlightened Variant)
ArbiBird #5955: Background: Blue, Body: Sage - Green, Beak: Long - Golden, Outerwear: Diamond Necklace, Eyes: Open - Blue, Eyewear: Half-moon Spectacles, Headwear: Halo (Jade)
ArbiBird #5956: Background: Blue, Body: Cosmic - Legendary Crescent, Beak: Small (Cosmic), Outerwear: Diamond Necklace, Eyes: Discerning - Yellow, Eyewear: Sunglasses, Headwear: Headphones
ArbiBird #5957: Background: Blue, Body: Professor - Purple, Beak: Long - Skeleton, Outerwear: Gold Chain, Eyes: Relaxed - Blue, Eyewear: Jobs Glasses, Headwear: Captain's Cap
ArbiBird #5958: Background: Blue, Body: Cosmic - Legendary Crescent, Beak: Small - Gray, Outerwear: Bomber Jacket, Eyes: Side-eye - White, Eyewear: Rose-Colored Glasses, Headwear: Dancing Flame
ArbiBird #5959: Background: Blue, Body: Glitch - Legendary Guardian, Beak: Small - Orange, Outerwear: Diamond Necklace, Eyes: Discerning - Yellow, Eyewear: Monocle (Jade), Headwear: Pirate's Hat
ArbiBird #5960: Background: Blue, Body: Emperor - Blue, Beak: Small - Orange, Outerwear: Hoodie, Eyes: Side-eye - White, Eyewear: Sunglasses, Headwear: Halo (Jade)
ArbiBird #5961: Background: Blue, Body: Tranquil - Black, Beak: Long - Ruby, Outerwear: Gold Chain, Eyes: Side-eye - Gray, Eyewear: Visor, Headwear: Aviator's Cap
ArbiBird #5962: Background: Blue, Body: Emperor - Gray, Beak: Long - Skeleton, Outerwear: Hoodie Down, Eyes: Glitch 3, Eyewear: Jobs Glasses, Headwear: Witch's Hat
ArbiBird #5963: Background: Blue, Body: Glitch - Legendary Sage, Beak: Short - Gray, Outerwear: Jean Jacket, Eyes: Open (Jade), Eyewear: Black-rimmed Glasses, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #5964: Background: Blue, Body: Tranquil - Purple, Beak: Small - Gray, Outerwear: None, Eyes: Open - Rainbow, Eyewear: Big Tech, Headwear: Halo (Enlightened Variant)
ArbiBird #5965: Background: Blue, Body: Enlightened - Legendary Crescent, Beak: Long - Gray, Outerwear: Jean Jacket, Eyes: Rainbow - Epic, Eyewear: Sunglasses, Headwear: Queen's Crown
ArbiBird #5966: Background: Blue, Body: Sage - White, Beak: Long - Skeleton, Outerwear: Diamond Necklace, Eyes: Open - Rainbow, Eyewear: Rose-Colored Glasses, Headwear: Captain's Cap
ArbiBird #5967: Background: Blue, Body: Emperor - Red, Beak: Small (Jade), Outerwear: Hoodie Down, Eyes: Fire - Ruby, Eyewear: None, Headwear: Queen's Crown
ArbiBird #5968: Background: Blue, Body: Brave - Blue, Beak: Small - Orange, Outerwear: Hoodie Down, Eyes: Angry - Blue, Eyewear: Jobs Glasses, Headwear: Dancing Flame
ArbiBird #5969: Background: Blue, Body: Robot - Metal, Beak: Small - Orange, Outerwear: Hoodie, Eyes: Open - Fire, Eyewear: 3D Glasses, Headwear: Raincloud
ArbiBird #5970: Background: Blue, Body: Stark - Brown, Beak: Small (Cosmic), Outerwear: Jean Jacket, Eyes: Relaxed - Ruby, Eyewear: Monocle, Headwear: Dancing Flame
ArbiBird #5971: Background: Blue, Body: Golden - Legendary Professor, Beak: Short - Robot, Outerwear: Diamond Necklace, Eyes: Relaxed - Purple, Eyewear: 3D Glasses, Headwear: Dancing Flame
ArbiBird #5972: Background: Blue, Body: Crescent - Brown, Beak: Short - Gray, Outerwear: Gold Chain, Eyes: Discerning - Skeleton, Eyewear: Monocle (Jade), Headwear: Crescent Talisman
ArbiBird #5973: Background: Blue, Body: Tabby - Pink, Beak: Short - Skeleton, Outerwear: None, Eyes: Open - Yellow, Eyewear: Big Tech, Headwear: Halo (Enlightened Variant)
ArbiBird #5974: Background: Blue, Body: Jade - Legendary Crescent, Beak: Small - Golden, Outerwear: Hoodie Down, Eyes: Side-eye - Green, Eyewear: 3D Glasses, Headwear: Gremplin
ArbiBird #5975: Background: Blue, Body: Enlightened - Legendary Brave, Beak: Small - Skeleton, Outerwear: Punk Jacket, Eyes: Open - Enchanted, Eyewear: Monocle (Jade), Headwear: Crescent Talisman (Jade)
ArbiBird #5976: Background: Blue, Body: Professor - White, Beak: Short (Jade), Outerwear: Hoodie Down, Eyes: Relaxed - Green, Eyewear: Visor, Headwear: Diamond (Jade)
ArbiBird #5977: Background: Blue, Body: Guardian - Blue, Beak: Small - Ruby, Outerwear: None, Eyes: Relaxed - Yellow, Eyewear: Visor, Headwear: Space Helmet
ArbiBird #5978: Background: Blue, Body: Tranquil - Purple, Beak: Short - Gray, Outerwear: Jean Jacket, Eyes: Angry - Gray, Eyewear: 3D Glasses, Headwear: Bandana
ArbiBird #5979: Background: Blue, Body: Tabby - Red, Beak: Small - Golden, Outerwear: Diamond Necklace, Eyes: Angry - Robot, Eyewear: Big Tech, Headwear: Mohawk (Green)
ArbiBird #5980: Background: Blue, Body: Professor - Red, Beak: Small - Robot, Outerwear: Punk Jacket, Eyes: Angry - Gray, Eyewear: Big Tech, Headwear: Skully (Jade)
ArbiBird #5981: Background: Blue, Body: Tabby - Black, Beak: Short - Skeleton, Outerwear: Hero's Tunic, Eyes: Side-eye - White, Eyewear: Big Tech, Headwear: Forest Ranger
ArbiBird #5982: Background: Blue, Body: Tabby - Black, Beak: Small - Golden, Outerwear: Hero's Tunic, Eyes: Relaxed - Blue, Eyewear: Monocle, Headwear: Hero's Cap
ArbiBird #5983: Background: Blue, Body: Crescent - Pink, Beak: Long - Skeleton, Outerwear: Diamond Necklace, Eyes: Relaxed - Gray, Eyewear: Aviators, Headwear: Tiny Crown (Jade)
ArbiBird #5984: Background: Blue, Body: Guardian - Blue, Beak: Small - Golden, Outerwear: Bomber Jacket, Eyes: Relaxed - White, Eyewear: Rose-Colored Glasses, Headwear: Rubber Duck
ArbiBird #5985: Background: Blue, Body: Stark - Pink, Beak: Long - Golden, Outerwear: Hoodie, Eyes: Fire - Ruby, Eyewear: Sunglasses, Headwear: Aviator's Cap
ArbiBird #5986: Background: Blue, Body: Professor - Pink, Beak: Long - Ruby, Outerwear: Bomber Jacket, Eyes: Side-eye - Blue, Eyewear: Rose-Colored Glasses, Headwear: Wizard's Hat
ArbiBird #5987: Background: Blue, Body: Tranquil - Brown, Beak: Small - Ruby, Outerwear: Hero's Tunic, Eyes: Side-eye - White, Eyewear: Aviators, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #5988: Background: Blue, Body: Tabby - Green, Beak: Long - Skeleton, Outerwear: Jean Jacket, Eyes: Discerning - Yellow, Eyewear: Black-rimmed Glasses, Headwear: Space Helmet
ArbiBird #5989: Background: Blue, Body: Jade - Legendary Sage, Beak: Short - Skeleton, Outerwear: Hoodie, Eyes: Glitch 2, Eyewear: Visor, Headwear: Bandana
ArbiBird #5990: Background: Blue, Body: Cosmic - Legendary Emperor, Beak: Small (Jade), Outerwear: Jean Jacket, Eyes: Angry - Golden, Eyewear: Jobs Glasses, Headwear: Flower
ArbiBird #5991: Background: Blue, Body: Professor - White, Beak: Long - Robot, Outerwear: Hoodie Down, Eyes: Glitch 4, Eyewear: Monocle (Jade), Headwear: Diamond (Jade)
ArbiBird #5992: Background: Blue, Body: Guardian - Red, Beak: Small - Ruby, Outerwear: Bomber Jacket, Eyes: Glitch 4, Eyewear: Big Tech, Headwear: Queen's Crown
ArbiBird #5993: Background: Blue, Body: Guardian - Brown, Beak: Small - Ruby, Outerwear: Diamond Necklace, Eyes: Open - Yellow, Eyewear: Visor, Headwear: None
ArbiBird #5994: Background: Blue, Body: Guardian - Blue, Beak: Long - Golden, Outerwear: Hoodie Down, Eyes: Open (Cosmic), Eyewear: None, Headwear: Backwards Hat
ArbiBird #5995: Background: Blue, Body: Stark - White, Beak: Long - Golden, Outerwear: Diamond Necklace, Eyes: Open (Enlightened), Eyewear: Gazelles, Headwear: Space Helmet
